Comment,Type,Predicted_Type
其实我一直不喜欢复联13尤其对过度拥挤的战斗场面审美疲劳复联4于我来说是一种巨大的解脱它不再仰仗战斗场面而是有足够的时间来处理上一集所带来的影响你在凝视着时间时间也在凝视着你这一集是整个漫威宇宙的顶点也是漫威十一年旅程的暂告一段落像一场告别牵动着观众对他们喜欢的角色和故事的记忆跟情感经历,好评,na
一桶爆米花吃了11年突然没彩蛋的漫威还真不习惯再见英雄们~罗素兄弟可以试试拍文艺片,好评,na
星际大联欢节奏把控得真好武戏利落文戏精练笑点插得自然又精准三个小时完全不显冗长最喜欢的是这回整个故事的落脚点再没有英雄责任之类的长篇说教有的只是想在时间长河中追回失物追回所爱的炽热心情毕竟最动人的故事不是拯救世界永远是人与人之间的相遇和离别啊,好评,na
B+漫威前所未有的复杂剧本前所未有的史诗大战前所未有的英雄悲歌可以说直到复联4漫威才真正发挥出电影宇宙设定的魅力一种跨越银幕内外的时代沧桑甚至在其强大的情感力量面前一切瑕疵和遗憾都可以被原谅了,好评,na
"看到一半电影院停电 也是6死了
2刷才发现 黑寡妇才是值得尊重 其他人都要放弃的时候 她坚持在基地 
一分钟后见
平安回来",好评,na
最后还是有彩蛋的最后logo出现时有敲打铁器的声音在我的记忆里那个声音来自钢铁侠1中的那个山洞最后绯红女巫身后的男孩应该来自钢铁侠3不知道说什么好过去的11年突然有了更深更复杂的意义一生能够看到一部这样的电影很值了,好评,na
今年也要毕业了漫威这代结束了TBBT也结束了权游也结束了终要离别,好评,na
想打五星也想给一星,好评,na
买到了复联4预售票一个人去电影院凌晨三点多看完电影一个人回去很酷吧所有你看过的剧情猜测都是错的所有的伏笔和细节都圆满了我的初心六人组最后都获得了完美的归宿不剧透什么祝每一个在生活中一腔孤勇的我们观影愉快,好评,na
"我永远地失去了我的英雄
但他直到死的那一刻也是让所有人敬仰的英雄
谢谢让托尼遇到了霍华德
谢谢让史蒂夫赶上了他的约会
谢谢让索尔见到了弗丽嘉
谢谢队长的avengers assemble
感谢圆了他们的梦也感谢圆了我的梦
感谢有你们的这些年
但是终究还是意难平了我的初代我真希望你们都有一个美好的结局",好评,na
1我的漫威电影之旅从钢铁侠开始也是从那一刻开始他成了我最喜欢的漫威角色2影片精巧串联了系列作品前面不疾不徐铺排线索最后恢宏磅礴高潮迭起非常满意数次热泪盈眶3对于自己而言这是一场告别一个完美的完结,好评,na
粉丝看了落泪路人看了爆笑腐女看了高潮直男看了热血漫威粉看了鼓掌DC粉看了抱拳,好评,na
愿每个人都能成为自己平凡之路上的超级英雄,好评,na
漫威宇宙电影院播放的电视剧的阶段性大结局除了片尾回顾角色以外在逆转未来时空穿越的过程中就完成了一次过往演员的大集结甚至包括娜塔莉波特曼等本不会再出现的人物解释了上一集留下的大bug在大家想象到的结局内有不断的惊喜在从第15分钟出片名开始就有卧槽到后面卧槽不断没有彩蛋看完了片尾字幕最后我爱你3000次,好评,na
1 > 4 > 2 > 3,好评,na
"1我觉得就我个人而言应该是漫威最好的一部因为完成了十年的收官做到了为所有人补全属于自己的那一面不留遗憾
2这电影不太符合豆瓣电影欣赏水平吧但是在我们这个年代这样现象级的电影是很完美的算是青春吧
3如果你觉得不好看那说明确实不是拍给你看的
4CP女孩哭泣之夜
5爱你三千遍",好评,na
为了造各种情绪效果为了剧情必须走向某个点为了让某些人活或死故事已经无视逻辑了为此只能送两个字春晚,好评,na
里程碑意义之作节奏紧凑情绪跌宕战争场面宏大壮观各种跨时空前后呼应让人惊喜连连时间旅行的解释和执行都够干脆利落全程无瑕疵笑点和悲情处都足够分量因漫长的铺垫而愈加隽永及挥散不去的惆怅惊叹漫威能把超级英雄电影系列拍到如此程度这本身就是一场超现实版的终极成人童话,好评,na
最终能做到这样已经是很棒的一部阶段尾声作品了感觉信息量都要爆掉有燃到炸裂的爽翻天也有难以阻挡的告别再见未来还要再见,好评,na
1年前立flag要以研究生身份来看这电影我做到了感谢漫威i love you three  thousands times~,好评,na
"朋友们你们还在这里么你们还记得复仇者联盟么

你们过得还好么

十多年了当我偶尔遇到一个陌生人发现他也看超级英雄电影时我会欣喜若狂与他畅谈半天

尽管他看的是DC

不看漫威怎会懂它带给我们的感动

复仇者联盟4上映的那一天与那么多漫威粉丝欢聚一堂已经值回票价了",好评,na
"Im iron man
我爱你三千遍",好评,na
结局真的挺意外的美队和钢铁侠之间的情愫寡姐与鹰眼之间的感情还有发生巨大变化的雷神和绿巨人搞笑担当的蚁人和银河护卫队都是电影中最靓丽的风景线每个传奇都有终点正所谓善始善终我觉得漫威做到了离别是为了下一次能更好的再见我相信有些时候说了再见就一定会再见谢谢漫威谢谢你们Avengers敲到这里不知怎的眼泪悄无声息的流下来了这种感觉可能只有影迷们才会明白吧十年青春十年漫威十年变化很大十年我从一个什么也不懂的孩子变成了青年十年我得到了至爱又失去了爱情十年真的能让一个人改变很多哎想说的话太多哎真的很感谢你们真的,好评,na
"11年历经21部电影的铺垫终于迎来最后的高潮并且将它们全部串联在一起这是史无前例的壮举令人难以置信
笑着笑着就哭了哭着哭着又笑了
以I am Iron Man开始又以I am Iron Man结束史蒂夫也赶上了约会圆了人生最大的遗憾这是最好的漫威最好的复联此生不悔入漫威
AvengersAssemble原以为复联3中瓦坎达大战就足够令人震撼但这里还比瓦坎达大战强十倍史诗般的大决战场面MCU中的巅峰之战超级无敌燃
永远的A 6感谢你们给我们带来的力量和信仰欢乐和悲伤惊喜和感动我爱每一位超级英雄我爱你们三千遍
唯一不满的一点辣鸡罗素还我托尼斯塔克",好评,na
老三巨头谢幕为什么铁人要拿最高片酬美队最强地球人实锤70年前那支舞终究兑现了论中年大叔的垮掉从有啤酒肚开始反派终于面目可憎了女权主义者的盛宴女巫最赞不接受反驳对漫画有呼应和斯坦李最后一次出境了前作里的伏笔也基本上都接上了作为21部一路看过来的人表示挺圆满的了,好评,na
You can rest now 太过沉重的结局各种意义上的见证了一个时代的结束,好评,na
最好的漫威最好的复仇者们,好评,na
"雷神没退休
死肥宅天下第一
堡垒之夜天下第一
反复痛击星爵引满室喝彩
时间穿梭严重违反祖父悖论时间线应该属于不同的平行宇宙
不存在每个人永远消失既然开了一次时间秘籍过去的人是可以穿越回来的
你是这十年漫威最伟大的英雄
爱你三千遍千千万万年",好评,na
真不好划分什么叫剧透那么就单纯表白一下我最爱的美队吧尽管他的一生大部分时间都是悲剧可他一直是那个激励别人的人仿佛他不会有丝毫脆弱就像灭霸打完响指之后有的人沉沦有的人自责有的人逃避他却带着微笑鼓励每一个普通人move on实际上他才是那个永远无法move on的人他一直活在过去虽然他有了那么多新朋友有那么多人需要他但他毕生所求无非是兑现那一支舞的承诺,好评,na
从来没有哪一部电影打怪需要开这么多主角光环呐同样一波怪复联一五个人就打了编制严重冗余你们港是不是这个道理,好评,na
复联4之颜值大逆转惊队之前有多丑现在就有多帅雷神之前有多帅现在就有多丑影片质量不用多说史诗高燃悲壮,好评,na
想要的都给足了害怕的都没发生在预料范围内情怀杀吃到饱比肩指环王的最后一战没有遗憾了铁人粉知足了MVP送给美队,好评,na
应该说故事的走向和人物的结局和我猜的差不多后半个小时影院里好几个女生已经哭的泣不成声了我对影片倒没啥特别的感受只是回想起看钢铁侠1时正好是大学的毕业季也是不由得感慨什么东西加上时间这一纬度意义立即就变了啊,好评,na
抹完眼泪还是想说Lebowski的梗我能笑一年,好评,na
"我爱所有的初代复仇者们真的不忍心就这样终结了漫威创造了你们你们也成就了今天的漫威感谢你们给了我们如此美好的青春记忆love you all
寡姐就值一个5星了i used to be alone 
then i got a family爆哭´`",好评,na
最后还是有彩蛋的最后logo出现时有敲打铁器的声音在我的记忆里那个声音来自钢铁侠1中的那个山洞最后绯红女巫身后的男孩应该来自钢铁侠3不知道说什么好过去的11年突然有了更深更复杂的意义一生能够看到一部这样的电影很值了,好评,na
漫威十年岁在己亥暮春之初会于世界各地之影院修禊事也群贤毕至少长咸集仰观宇宙时空之随意穿越俯察超级英雄之数量众多所以游目骋怀足以极视听之娱信可乐也,好评,na
泪别英雄的同时别忘了那只老鼠没有它后面一切都是扯淡这是一次串起此前多部电影情节点满情怀燃泪齐飞的严重粉丝向落幕普通观众观影压力甚大请尽可能重温之前的21部电影尤其是复仇者联盟雷神2美国队长2奇异博士银河护卫队复仇者联盟3蚁人2 文戏相当走心但对于一个文戏占绝对比重的落幕片来说本片的最后一战虽然很燃却有种达不到尽情释放的遗憾许多英雄只是大景别里的一个模糊身影一闪而过冲着罗素兄弟一贯的高水准动作戏去期待是会有些落差的 910,好评,na
故事和超级英雄都有落幕的那一天旧的故事业已结束新的故事正要开场让我们在回忆的小径上多走几步旧友重相逢想做超级英雄的人成为了真正的超级英雄失落的时光也在另一个平行宇宙被重新拾起没有比这更好的结局了,好评,na
穿越往昔场景是对漫威电影十一年历程的一次大回顾兼具情怀与笑点能充分享受每一个或曾淡忘的细节夺回消逝的战友再度集结起全明星阵容时所有铺垫随情感在此一刻爆发开来当年六人小队如今千军万马走到这一步戏里戏外都堪称奇迹两大支柱双双谢幕标志着一个时代的终结虽说旧的不去新的不来但复联4已经像是划下句号般遗憾而圆满很难再以与过去相同的心情去期待今后MCU的展开了,好评,na
复仇者联盟之漫长的告别勒保斯基的梗我能笑一天,好评,na
零点场全球第一批观众之一天啊我要给罗素兄弟疯狂打call我相信所有漫威迷们你们想得到想不到的一切在这里你都可以看到哭过笑过十年一梦Each and everyone gets a closure about past about current about future 这是真正的史诗已经很难在电影范畴来评价它了这完全是给所有漫威粉丝的tribute全片到处都是梗真的是要补全全部MCU过往电影才能理解啊然后最后也终于说出了那句这么多年来始终都没能喊全的完整的Avengers assemble Enough thats enoughPS郑肯真田广之和导演兄弟之一乔罗素都来轧了个小角色更不要说斯坦李的最后的客串全场飙泪鼓掌,好评,na
这次真的全球最早 其他424的地区和国家因为零点场和时区等原因 大陆观众将成为最先知道全部剧情的人 给力424看完打卡 精彩绝伦的巅峰史诗 笑点哭点都有 剧情非常棒 零点场气氛极佳 欢呼鼓掌 我爱他,好评,na
灭霸穷尽一生只为一个平衡的宇宙看到他最后坐在那等待命运的降临我的心都碎了,好评,na
42星漫威为电影宇宙第一个十年画上了一个圆满的句号1漫威拿手好戏之一就是能把泪点笑点调和得宜2应该是漫威过去十年最为复杂的剧本3漫威十年到底谁是第一男主本片给出了答案所有设定走向结局是对漫威宇宙第一个十年最好的致敬和总结4美国翘臀绝非浪得虚名5灭霸果然和其他妖艳贱货反派脑回路不一样6每个人都有足够的理由加入终局之战为了各自的挚爱7关键词真假美猴王周芷若舞屠龙刀李莫愁联手小龙女8废章并非没有结尾的处理也并不算完美但在本片的完成度和里程碑意义的情怀加成下可以忽略,好评,na
I love you three thousand times这么多超级英雄里其实最喜欢蚁人了诙谐市井还带有几分俗气这才是你我这等凡人熟悉的人间烟火啊,好评,na
漫威用美妙的方式串联起前21部影片每个我们熟悉的人物都散发着前所未有的光芒感觉复联4不是一部电影而是一场属于英雄们的授勋典礼,好评,na
我是来分析票房的估计在30到35亿之间原因有3点          1复联3票房239亿惊奇队长票房10亿按照这个算法大概有三分之二的人看了复联3没有看惊奇队长漫威的片子要连续看才连贯这些没看的人估计在等网上高清很遗憾现在23号了我看了下网上还是没有高清版只有偷拍版这个因素或多或少会影响一些人去看                   2复联3是150分钟复联4是180分钟多了半小时这就意味着相对复联3每天会少排一场少一场总的收人会少很多 不排出票价涨但是最多前10天                3还是时间问题180分钟三个小时说实话一般的路人尤其是妹子真的很难坐的住的这部分观众会流失不少的反正本人已经贡献了24号的125元的IMAX票,好评,na
一个带有缺憾的句号,好评,na
这一集打斗少对话多时间线穿越设计的很合理很多之前系列电影的情怀老玩家看了非常有代入感两小时对话一小时打斗最后打戏精彩集结的场面很热血漫威十年一代人的爱,好评,na
无处不在的告别复调一个超级英雄概念的完整生命周期这集里开始的钢铁侠和最后的雷神合体的话会产生什么超级英雄知道吗弹簧人贝尔,好评,na
很难承认2019年度十佳将出现一部超级英雄电影悲壮史诗深情这些不曾存在于漫威字典里的词在这终章中得以展现对路人来说这是一部逻辑自洽节奏有序编排得当的商业大作对粉丝来说这是一场情怀至上的青春告别仪式无疑这是漫威11年最好的结局另片尾其实是有彩蛋的仔细听,好评,na
凌晨三点看完花了十五分钟离开电影院此刻只想尽快回到家抱抱熟睡中的女儿和爱人,好评,na
在另一个平行宇宙里Loki还活得好好的,好评,na
看之前别化妆了姐妹们能哭掉你十层粉,好评,na
FarewellAvengers一个时代结束了,好评,na
那是我逝去的青春,好评,na
其中两个镜头哭成狗看到光圈出现时内心涌起了无数的回忆十年了感谢相伴,好评,na
"当我们抬头仰望那些星云诡谲尘土飞扬的战争奇观差点都忘记了这些他的每一次出发都准备好将以凡人之躯去熄灭远征的战火他的每一次执盾都宣告着要以钢铁之心来承受百年的孤寂天神之子召唤着雷电唤不回至亲一次回眸灵魂之巅手握着宝石抓不住此生最后拥抱
拂开金灿的光圈归来的是那些来不及告别的面容穿越量子的宇宙却再也无法走到你的身边纽约大战的旋转镜头再起眼泪伴随着年轻的号角簌簌落下
大雨滂沱的罪恶城市有人握住你的手荒芜废墟的流浪地球有人守候着银河中你的方向沧海桑田的光阴背后有人爱慕你一生的容颜终局之战的新兴世界有人怀抱着你的爱继续前行
这不是最完美的收官作品这只是最深情的告别仪式始终坚守自己为爱全力以赴这便是最好的人生无须重头再来",好评,na
你们有星战他们有星际迷航而我们有复联壮烈如同史诗让人热血沸腾辉煌过后总是落幕复联是黑寡妇的家庭是美队的梦想是雷神的救赎是钢铁侠的守护是蜘蛛侠的爸爸,好评,na
收官之战心疼雷神,好评,na
感谢复仇者联盟3无限战争里星爵背黑锅打灭霸头的那三拳雷神最后没有劈到 灭霸的头所以我们现在能看到复仇者联盟4终局之战 看过N次零点首映还是第一次看半夜3点15分场次的电影也算是成就了一次特别的观影经历 前面人物众多线索庞杂的文戏感觉对冲着看爆米花动作片的路人可能不太友好但追过漫威电影宇宙系列电影的粉丝比如一部不落的我应该会倍感亲切当复仇者联盟银河护卫队等等曾经熟悉的电影桥段画面演员角色接二连三相继出现时真是给我一波又一波的惊喜而在X战警逆转未来式的剧情铺垫后最终指环王感的终局之战更是看得我热血沸腾 去年的复联3自己花钱买了4张IMAX场的影票今年的复联4如愿完成3刷IMAX版的计划,好评,na
So long and thanks for everything,好评,na
B  超低配云图×头号玩家的元MCU超英片漫威用一种暴露其庞大文本运作机制的无耻方式从颓废的虚无到崇高的战斗再重新建立起和平的轮回假像全方位赤裸裸地炫耀了它作为虚假的消费符号如何将我俘获并用最后一镜轻描淡写地戳破这场出窍的梦境仿佛空海最终找到了无上密加菲最终潜入银湖之底我似乎也意识到了自己观看的一片空洞不过是自己内心稚嫩的成长史可是我到底长大了没有呢,好评,na
漫威打造了自己的头号玩家甚至场面更壮观一会哈哈哈哈一会卧槽这是最好的告别下一个十年星系级战力该是起步了吧,好评,na
84100 非常大胆的突破了商业类型片的某种特定结构这个选择对于这种级别的系列电影真的值得佩服的一件事十年复联以这个故事结束也足以展现出漫威影业的极度耐心和深谋远虑它不是简单的一个结束而是一次意料之外又心服口服的全盘的回顾十年前漫威为数亿观众创造了一个超现实世界十年后他们又亲手将观众打回现实世界感受超越超级英雄类型片的结束复仇者联盟是我们这个时代的超级星球大战,好评,na
4星+111年22部电影从2008年那句我是钢铁侠诞生而布局的漫威宇宙一路走来所有的回忆都汇入复联 4的三个小时之中电影展开剧情的手段也许在你看完复联3之后就能依稀猜到的确也没有别的方法再来复活他们但即便是新壶装旧酒复联4仍是一部充满了趣味与感伤且并没有生硬煽情的作品作为一列串联起漫威11年的情怀过山车虽然它并不完美但仍将之前所有作品中预埋的包袱发挥了出来个人心目中的漫威宇宙至今最佳,好评,na
比想象中好几个想法1 不要认输不要跟时间认输更不要跟自己认输2 尊重每一个个体的想法非常重要集体是盲目的但是个体却超乎我们想象地具有能量3 记忆是我们之为我们的一切记忆亦是我们之为我们最大的阻碍4 爱跟记忆一样5 失败像成功一样值得被尊敬因为他们在另一个时空里或许是成功的我们在另一个时空里是失败的但我们的本质一样我们都是赤手空拳赢得历史的人6 英雄主义永远是人心的镇定剂不论谁必须相信点什么才能活着有时候人们的英雄是英雄们但时时刻刻自己都是我们的英雄因而信念永不死英雄永不死7 必须吐槽的是太政治正确了美队成黑人了是不是有点违和啊喂8 观众是好哄的说了那么多还不是自我感动🤷️,好评,na
心满意足睡觉去了千言万语一句话爱过,好评,na
全是和解与放下全是欢笑与泪水电影因为故事太面面俱到所以不完美甚至有些粗糙然而依然感谢漫威陪伴的这些年,好评,na
剧透千军万马气吞山河背水一战誓死力搏史上最佳超级英雄片Make lovenot war 初代复联全员幸存初代复联最后集结时空穿越昔日经典场景刮目重现复杂无比的多重宇宙种种说不通的时空悖论我最爱的交叉骨竟然有出现天啊啊啊惊讶得椅子都坐烂了Jeremy Renner的鹰眼痞帅痞帅到我融化了真田广之叔也爆帅我的天惊奇队长不愧为最强复仇者其次红女巫惊队每次出现都让我感动万分QvQ Brie Larson的扮相果然很美~真香我的暗夜比邻星居然只有两个远镜头╰╯巴基的戏份也少得可怜没想到一开头最圆满的人最后却成就为最悲剧的英雄自哈利波特系列后我们竟又要告别一个时代十年无悔入漫威感谢MCU的每一位演员感谢Stan LeeHail HydraHail MCU,好评,na
喜欢的地方收尾得挺好和前面的剧情也都串联了起来关于过去和未来现实和记忆情感和选择不喜欢的地方无聊的口水话太多了点惊奇队长的存在也太不和谐了点没有预告片里的那种震撼感,好评,na
用三个小时的时间来集结来牺牲来告别来和解雷神与母亲好好告别托尼与父亲握手言和解开心结黑寡妇牺牲了自己换取胜利班纳与浩克合二为一美队赶上了那场舞会化灰英雄集体回归气势磅礴妇联出场亮相诠释女性力量             再没有比这更圆满的结局了始于钢铁侠终于钢铁侠这是一千四百万分之一的胜利是三千遍仍未尽的爱,好评,na
最后大家互相传递手套的场景变成了美国人最喜欢的运动赛场橄榄球,好评,na
要啥给啥真官方逼死同人20190424英皇电影城20190502耀莱丽泽桥 粉丝场的渲染加分太多大概和看演唱会一个效果吧,好评,na
作为一个漫威黑还是承认这部收尾之作确实拍得不错稍稍看到了一点复联1的影子在一堆超级英雄大乱斗里花了笔墨去刻画人物讲述困境美队钢铁侠雷神的人物弧线都写得很漂亮不过绿巨人鹰眼寡姐的人物弧线写得就差些尤其是寡姐按理说她那场戏的情绪点应该放在灵魂黑夜这个阶段结果电影里另外几拨人还在嘻嘻哈哈做任务她那边直接开虐观众情绪转不过来而钢铁侠和美队的情绪点就很恰到好处以穿越的形式把漫威电影宇宙里的几个名场面串联了起来情怀满分剧作结构也没毛病看完之后同伴问我穿越设定有没有BUG我说看漫威你还要带脑子吗这已经算是这几年漫威引领的超级英雄电影低龄化风潮中没那么低龄化的一部了还要什么自行车啊说着说着又忍不住开始黑漫威了,好评,na
最后一次见面他知晓她留在过去她知晓他来自未来她对他说每个人都无法成为理想中的自己衡量一个人一个英雄要看他们是否成功做自己他们都做到了足够神明大厦坍圮肉身成住坏空既然我们终有一别那就告别吧正因参透生死故而不再畏惧生死正因看淡生死故而才能从容赴死正因这里有我们的一生所爱故而依旧贪生怕死正因我知道你知道我会死故而才敢爱你三千次,好评,na
系列连续剧最好的终章在一片欢呼里哭得好大声漫威要我命,好评,na
一刷3D效果一般二刷IMAX3D掌声欢呼声哭泣声此起彼伏气氛超棒漫威这回先发了让各种CP粉尖叫鼓掌的大把官方糖再催虐下漫威粉丝们的伤心泪水作为商业片已远超预期几部前作前重要配角的重现设计非常出彩在角色减少的前提下三小时高潮迭起节奏把控精准完成度极高佩服罗素兄弟敢做敢为老猿挂印是为了新人要出头是复联1的延续复联3的镜像更是系列彻底圆满的分水岭原来的归原来往后的归往后不过系列一贯缺点依旧原始人打架般的战斗事后诸葛马后炮主角是否有不死光环只取决于官方强行设定某些喜剧梗还是尴尬最厉害的惊奇队长竟成最大酱油,好评,na
二刷IMAX作为粉丝我真的真的爆哭完美的剧本太多梗了回到12年复联1的时候我差点大叫出声编剧竟然想到用这样的方式来回顾过往10年锤哥和妈铁人和爸队长和卡特每个角色的情结都照顾到了有太多会心一笑哭的点但是寡姐我真的不接受这个结局太TM坑了,好评,na
穿越时空这个设定我觉得还存在一些需要解释的空白但终局之战真的犹如烟花盛宴最后最绚烂耀眼的闭幕只是这个结局还是让我无比伤痛英雄终是离我们而去一个时代仿佛结束而我们也仍将孤独前行,好评,na
此生无憾,好评,na
不会二刷 我真的承受不来这个结局黑寡妇死的时候 后排女生哭的直抽抽 我心想 有这么夸张吗 至于吗 我只是有点眼泪水出来后来消失的英雄全部出现的时候 觉得很感慨 也掉了眼泪最最后来 钢铁侠打响指的时候 哭的 控制不住自己 真的是抽了 我没法接受 无法接受但是漫威 还是 谢谢你还有复仇者们 我永远 永远爱你们,好评,na
虽然那个但想想也是那个了觉得太那个了当全场那个的时候我全身都那个了还是有被那个感染了吧最喜欢的是那个那个还有那个可是为什么不能那个呢大家一起那个多好啊希望还能再那个,好评,na
化繁为简了更多是创作上的有意为之也可能兼有占了上一部结局的好处不管怎么样都比上一部好看太多不算片尾不到三个小时的叙事一点不会让人觉得冗长大家各司其职各归其位极大限度照顾到了每一个角色感人的地方很多除了你我相逢还有太多标志性的瞬间这些瞬间是致敬是缅怀或是一种仪式感,好评,na
完结篇教会观众说再见就可以了带点哲学意味的商业片无法抗拒祝福三位片约到期的演员ps小蜘蛛出现的时候响起了掌声果然是最受欢迎的角色,好评,na
今晚在影院的人真幸福,好评,na
这TM哪儿是电影啊是一场狂欢是一场20岁到30岁的青春狂欢把十年的回忆和人物叠进三个小时里面每一秒每一帧都能有他说不完的故事每一场面每一话都有能戳中心底的地方也许许多的不完美都在这三个小时里面完美了也许许多的遗憾也就留在了这三个小时里了End GameEnd the Start,好评,na
妈呀这也太好看了吧,好评,na
十万个为什么是托尼我得重温多少遍钢铁侠复仇者联盟才能弥补这样的悲伤,好评,na
