Comment,Type,Predicted_Type
好幸福哦本年两部漫威电影都能见到冬兵虽然再也见不到他的短发版了吧比想象中要好但大战又比想象中潦草幸好人多嘴杂几条鲁蛇丧起来总好过猛灌猎鹰美队的浓稠鸡汤用银护的姿态重回复联1的场面再闯入复联2绯红女巫的噩梦世界最后宣传照又高仿了一把正联边角料的情怀牌打得蛮有娱乐性于是隐隐约约地乌合之众把漫威带回了威风八面的边缘就是一不小心选了个诡异的三面厅三星半Yelena劝架说别雄竞了时原话是比谁有tiny dick很典哈哈,好评,na
"铁T救火+铁T话聊十一年前冬兵在美队II里单枪匹马把神盾局局长连人带车一起炸翻十一年后他掏出同一把枪再次把整个小队连人带车一起炸翻这怎么不算一种call back呢由于事先知晓是BEEF的导演和编剧当叶莲娜抱住Bob说出Im here for u时我瞬间想起BEEF最后一集的I see your life和Its okay甚至还有一点点妈宇宙之存在主义🥯黑洞终究没忍住掉了两滴眼泪本大龄缺爱loser真的一点看不得这个
BTW大概能猜到为什么原定出演哨兵的史蒂文元最终辞演试想一个亚裔面孔的反派出现在复联大厦上空召唤出像新冠病毒一样迅速蔓延的黑影吞噬整个纽约并向全世界扩散想不出比这更能让种族主义者们狂喜的Asian Hate二创素材了",好评,na
不是那种爽感的电影确实有别于上一阶段的一些垃圾感觉要两极分化,好评,na
"观影门槛较高剧情蛮好喜欢这种深入人物内心的想要看个爽的慎入
神奇四侠看到这个地球的守护者如此歪瓜裂枣会不会崩溃🤣",好评,na
Im hereyoure not alone 皮尤我是你的狗,好评,na
上次外星人入侵的时候我还在读高中 诶我刚读大学是啊过去的漫威已经成了我们生命中的一些节点了再说你孤独的丧丧来成都呀冬天的时候天天阴天甚至都不用特效都是影子了怎么说呢又看到他们奋力地各凭本事在拯救危难下的普通人还是挺感动的最后再说说叶琳娜我没想到我会如此的喜欢她她和我们一样也在思念着已经永远逝去的娜塔莎她没有别扭地尝试着成为第二个娜塔莎或者娜塔莎的替身她是叶琳娜是娜塔莎的妹妹身上有相似的地方但她是独立不同的她这很好这是对娜塔莎的尊重也是对我们观众的尊重Thats all,好评,na
真的很像看了两集美剧但要是剧的话我可以打五星感觉很多人根本没有在电影里期待任何东西他们只是向所有事物投射一个嫉羡戾气的自己二编原来导演就是beef的导演那真的风格很统一了beef绝对是我的满分剧,好评,na
所以你告诉我整个事件就是瓦伦蒂娜和哨兵演一出戏就为了捧这几个角色,好评,na
还行但精彩的大场面不多这么牛逼的哨兵装一下逼后就啥也没了,好评,na
头回在漫威电影里看到了扎实的情感核心竟然还有点感动和惊喜冬兵高光,好评,na
太喜欢了以A24的方式打开了全新的漫威风格抛弃模式化的快节奏以深入的角色内心刻画呈现超级英雄片少有的真实的人物情感看完之后疯狂爱上皮尤饰演的叶莲娜孤独丧逼自毁又渴望羁绊影片最后的高潮戏是一次超级英雄电影语境中的大胆尝试入侵脑细胞式的内心呈现致郁又治愈,好评,na
"虽然离马丁斯科塞斯所说的Cinema尚有距离但这部漫威电影难得地找回了讲故事的初心在这个特效轰炸的时代真诚才是永远的必杀技
弗洛伦丝皮尤的表演尤为亮眼她不仅再一次完美驾驭了角色更以走心的演绎证明了自己是新生代演员中的佼佼者从各方面来讲甜茶在沙丘中选择迎娶公主是明智之举",好评,na
漫威你这不是能拍出好东西吗 最后大家抱着Bob的那一段我第一次在超英电影里能联想到现实生活也是第一次在超英电影里看到的不是命运弄人而是渺小的爱这个爱不需要来自天神不需要来自天才也不是来自家喻户晓的偶像仅仅只是一起挽手上过高塔的朋友 这和我觉得保险公司不会承保复联大厦及方圆百里任何建筑一样真实,好评,na
要去看看罗马的电影海报然后再抱抱自己吧,好评,na
"很长时间以来最好的漫威文戏又找回了以前的感觉
复联5颇具雏形最后揭开新标题简直开心死难怪把最终大决战选在Atower珀女士全片最佳帅到了我的心窝里bob也不错其他人还是欠点火候
Go Avengerz",好评,na
"坠入盗梦空间的内心阴霾里四处打转踢一场酣畅淋漓的女足球赛治愈抑郁
方丹夫人和她的梅尔小秘太吸睛牵引剧情挥洒风趣",好评,na
漫威你终于醒过来了虽然不完美但起码终于再一次在走出电影院的时候感觉到超级期待后面的故事了小队里所有角色都喜欢台词写得好队员之间太有化学反应了,好评,na
最终还是话疗结束战斗不过比猎鹰4强多了漫威就是不舍得给冬兵多一点镜头放哪都是配角250430,好评,na
对于近些年沉迷多元宇宙概念的漫威而言本片确实回归了对超级英雄自我价值的探讨相比拯救世界的宏大命题个体的创伤疗愈与群体联结才是本片关注的重点超级英雄的本质并非无瑕的完美而是直面阴影在破碎中重建意义的勇气这帮看似不着调的反英雄团队看着却比那些伟光正的更加顺眼,好评,na
漫威一讲普通人的故事就有意思了,好评,na
富有想象力又很细腻非常特别的漫威电影动作场面也很实打实而不是冲击波弹弹弹了反派的超能力是遁入虚无以及最大挑战的场景是房间套房间那段真的好喜欢,好评,na
爆米花电影已经深度进入心理治疗领域不只是爱还要爱得更有深度,好评,na
完全摒弃路人的一部倒确实在文戏上用心了虽然还是脱离不了插科打诨的一些商业笑料,好评,na
我爱皮尤这张脏兮兮的小脸蛋像只又美貌又厉害但可怜的小落水狗嗷呜嗷呜嗷呜,好评,na
"模仿大师没人为我发声吗
谁懂我看的时候狗shi一样的笑点为什么大家都不笑是生性不爱笑吗🥺🥺",好评,na
"当超英开始走路坐电梯碎嘴交朋友一些狭长看似没有尽头的甬道需要背靠背结成团才能险些通过当失败者跨过残破的发布会面世幕帘一些所谓的成功需要接地气的失败才能勉强获得

当毁灭一半人类的寓言在五年前意外成真剩下的人怀揣着群体性cptsd如何前行

超神之力的超英时代已经过去企图复刻辉煌的所谓大片统统败下阵来我们才能也只能停下来安静想一想如何去到下个未来

而答案已经在此出现原子时代的拯救世界需要从拯救一个人双相患者开始拯救一个人又从自我拯救开始而自我拯救从承认创伤开始

于是漫威二阶的真正核心也就只能是与现实呼应的大战后超英时代的疗愈人力之力为此不惜全面复古IP挖坟让旧时人本信仰重见天日等看神4以及部分情节与念无双一模一样",好评,na
期待下一部 这部虽然都不怎么强 反而有一种真实感 平凡人实实在在的困境,好评,na
我觉得是好看的诶开头不入流的落寞英雄有点守望者的感觉后面的大战因为硬实力拼不过只能走用爱感化世界的路线但在音乐和整体氛围渲染下做得还挺感人的和以往复联电影不一样的风味但是一次很成功的尝试比DC家类似题材的做得更好,好评,na
"2025430 还不错
最近仿佛都流行这种不是靠精彩打斗来解决危机的方式
虽然硬碰硬的话他们几个人根本打不过哨兵但是还是感觉战斗部分看得不够过瘾
可惜了模仿大师出来露个脸就死了不知道为什么要这么安排
复仇者大楼都没落了令人唏嘘
想不到最后雷霆居然会翻身成为新复仇者不过既然山姆也组了一队复仇者更好奇他那边的成员有谁
很期待7月的神奇四侠",好评,na
MCU电影之36经历了规划混乱水平飘忽的四五阶段仍然对这部抱有很高期待先期媒体口碑不错看下来也确实观感很好在后复联4时代可以排到前三了搜集了来自寡影蚁2猎冬剧的一堆边角料角色各有各的失败和挣扎组合在一起却展示出不一样的精彩效果动作戏特效视效都是上佳几个大场面都非常好看风格上类似于队2+复联2加一点点孤独感的讨论一边振奋一边又轻轻被触动Yelena挑起大梁走出自己的迷茫Bucky从政坛抽身领导起这个小队Ava最先伸手连结意外地出彩Walker放下执念Alexei得偿所愿核心人物反英雄BobSentry的刻画也很精彩只遗憾看不到Valentina落马雷攻成队新复联在望期待后续第一个彩蛋搞笑第二个彩蛋预告新神四和复联5,好评,na
后悔干活喝酒继续后悔shit,好评,na
"与好友在广州非常好的电影院观看可能是在广东看的最后几场电影值得珍惜
看之前得知评价颇高但其实满腹狐疑看完觉得实至名归真的不错节奏明快人物立体立足超级英雄但是讲的还是普通人的爱恨情仇父女关系干自己不想干的事情走不出的童年阴影失败的职业生涯父女和解那里让人动容
和漫画的呼应超级好Ox公司就是Oscorp替代绿魔的女局长黑暗王朝一部分的围城引入新复仇者两个复仇者并立时期美丽最后引入神奇四侠让我觉得本次重启或许会有点意思
KL的场地设置巧妙片尾塞进去了真亚驱好玩哨兵对战自我黑暗面让我想起Scott Pilgrim
最后还是要为没能出现的浩克世界大战招魂太可惜啦",好评,na
漫威影業的除顫器了把瀕死的漫威又往回拉了一把也把我這個漫威鐵粉也拉回來了一些最佩服的是漫威這次竟然拿上億的大製作用超級英雄來拍一部關愛心理健康關注抑鬱症的電影光這點就很有勇氣電影本身肯定要面臨口碑兩級分化因為整部電影完全不是什麼火爆的視效大片而更專注於劇情更別提結尾連一場像樣的大戰也沒有但這也沒辦法這幾個人要對付漫威第一人哨兵除了打嘴炮其他方法根本不實際沒想到漫威又能成功的還原出一個新的英雄角色鮑勃這個角色太有戲了普通人狀態下真的很好笑但是變成哨兵後又真的強的可怕完美的反差萌如果要說火爆程度自然比不了一般的超英電影但是這部電影還是用自己的風格和自己的步調彰顯出了自己的與別不同最後星號副標題的揭曉確實是意料之外又情理之中這次打了個不錯的翻身仗,好评,na
正如主創團隊所說是A24漫威電影無誤結構很小品沒有明確主線任務場景轉換也不多多半以角色互動推進劇情主線在互動中各自揭露彼此傷疤形成一種邊緣群體的抱團取暖看的出編導將心思都放在塑造角色了甚至連制伏反派哨兵的方式都設計為戰勝過往的心魔內心的虛無了在內核上非常難得能看到是以虛無主義作為命題去形塑邊緣群體的超英電影不能說每個人物都有探討到但以總體來看確實透過抱團取暖成功將一群反英雄雜牌軍建立起向心力成為一個政治妥協下的推波助瀾官方產物某方面來說確實有承襲一些導演的怒嗆人生元素在裡頭以至於在謾罵與自己毫不相識的同類人後最後還是選擇了團結一心共抗虛無既是特殊標記也是他們團結一心的證明這個巧思安插在片名之後非常棒PSIMAX片頭倒數和片尾彩蛋都被F4填滿了,好评,na
我哭了这几年被漫威虐得好苦啊终于看到一部能让我心继续跳的片子了巴基救场帅死我了,好评,na
所有人都可以叫你bucky吗摩托车那段真是很火辣永远想念九头蛇的形象管理算是这阶段漫威不错的一部了文戏有点多了吧,好评,na
虽然大结构仍然有点套路因为角色太多个人人性的发掘也有点浅但片子仍然有不少新意从心理角度战胜自我还是有可看性的近期MCU最佳,好评,na
"作为一部漫威电影在文戏多武戏少的情况下还能让人看得津津有味甚至落泪本身就很难得
喜欢整部影片的主题就像复联系列为上一个十年的英雄作传一样雷霆特攻队正在定义如今这个时代什么才是英雄在分裂崩坏的当下每一个能够向内求索从原生困境中自救而生的普通人都是属于这个时代的英雄这就是这部电影最重要的意义
喜欢本片将人去楼空的复联大厦作为高潮戏主舞台的设计从Stark到Avenger是个体到团队的传奇而虚无人格的黑暗从复联大厦侵袭到整个纽约又被一群loser们的拥抱化解正告诉人们在集体神话里每个个体的故事都同样重要
四颗星一颗给骑摩托的巴基一颗给叶莲娜的崩溃大哭一颗给沃克弯成卷饼的盾牌还有一颗给狼狈不堪坐电梯撤退的新复仇者",好评,na
可以可以,好评,na
真的好久没看漫威电影了超英最近确实太过萎靡不过这部从预告片出的时候我就挺看好的最后果然也能算是达到预期几处打戏还算不错文戏的情感也够深刻主要角色的刻画相当到位自始至终讨论一个主题几处talk还挺出彩没啥大槽点不尬黑真是有笑有泪漫威最佳勉强五星,好评,na
漫威早几年就该拍一部这样的略带文艺风的超英电影第四五阶段毫无意义的打打杀杀早就腻了,好评,na
漫威比较少流水线控制感的一部影调控制完整性不错哨兵计划先于DC超人计划在真人电影中实现,好评,na
感觉有钢铁侠3水平,好评,na
152025  英皇iSquare IMAX35  好耐冇係MCU睇到依種人味浪費左咁多套戲終於重拾返點去講好一team人一齊come together既故事,好评,na
在loser hero这块真是无敌两个物盾+两个近卫+一个特种最后召唤出一个束灵法师Bucky出场那一刻内心狂喊复活吧我的爱人但本质上这片是讲关注心理健康吧嗯嗯,好评,na
78算是回归正常水准了见长评,好评,na
后疫情时代的超级英雄都带了一股非常时代性的丧感很难想象如果是现在第一次看钢铁侠系列还会不会喜欢太多糟心的联想结尾的官方嘲讽拉到满格笑死这部出现的很多角色都不是太熟了后来的衍生剧也都没太看过不会抱太高的期待但只要拍就会看的系列吧像春晚一样主打一个陪伴感另一直很在意看上去很厉害但被幽灵姐爆头就死了的那一位,好评,na
五一档新片最佳,好评,na
新的角度真好看没有突兀的转变一切顺理成章熨帖～,好评,na
35吧确实不至于像漫威现阶段其他的作品那样乏善可陈但就是说飞机掌舵回来的本片略显一些经费不足和剧情太短但是为了收回之前阶段描述出的无用角色和解决烂摊子本片还是很好的完成了该完成的任务,好评,na
情怀加分 老粉满足 纵观漫威近年前作 这难道不值得好评吗已经不记得上次看哭的漫威电影是哪一部了可能再加上本人春季复发的因素每一句叶琳娜的台词都说到了我心里敢于放大阴暗面的超英电影 属实不易 冲着无脑打戏来的肯定会失望后疫情时代漫威诈尸之作能在大荧幕上看冬兵老人家挥拳头我已经很满足了 shadow mannew kink unlocked,好评,na
谁懂我看到巴基骑着车子冲出来的激动梦回美队2了,好评,na
叶莲娜的那场哭戏实在太戳我了看过太多神和拥有超能力的英雄突然把这么一些超英边角料组队搬上大银幕来本以为会略显无聊但主创很聪明地去聚焦失败者的人物成长和从孤独拥抱自我的弧光以情感渲染作为主线因此虽然大场面不多但十分能触动到我弗洛伦丝皮优的演技简直太精致了从造型到表演全方位吸引我当然从结局处理危机的方式仍然略微俗套了可是基于整个电影的基调便从情绪和自我和解出发最后也能接受此般设计群戏适当笑点也编排得合理确实动作戏太少了不太超英片但换个视角看英雄的处境还是挺有趣味的给漫威第五阶段打了个很不错的开门红,好评,na
二流下的剧本准一线的演员和导演最终呈现的挺让人喜出望外We were failures and then we failed again之后紧接着颇具精神分析的第三幕不得不说略高明反派从自以为是又bossy的惯例讨厌老白男变成了自以为是又bossy的讨厌老大妈但不得不说老白男就显得很中二但老大妈就显得比较真实职场Lewis Pullman是一颗好莱坞冉冉升起的星二代好莱坞再DEI也依然后继有人Florence Pugh颈纹太重很显老但也好讨喜啊猎鹰与冬兵这个剧得补一下,好评,na
笑声不停,好评,na
漫威翻身了但只翻了一半虽不如银护3但已经比四五阶段大多数屎片好了好的地方是大量的实拍勉强过硬的动作戏A24与漫威结合的另类风格与题材低饱和度调色然而第三幕这个反高潮设计有些过于泄气插科打诨稍多在本就失衡的战力对比下采取话疗而非智取实在显得笨拙何况这个话疗并没有通过情感说服我很喜欢沃克和叶莲娜这大体格子和蓝色眼影过于抢眼冬兵是真老了但公路骑行大战实在太过瘾红色守卫这千篇一律的丑化苏联的设计实在太过时了以及模仿大师就这么一开头死了这宣发有些过于诈骗了这个彩蛋有些过于意料之中漫威要彻底翻身还得看神奇4侠和复联5瓦伦蒂娜这个极左民主党政客角色既没魅力又对系列无推动作用建议放弃,好评,na
人人都是孤独的你所面对的终将是自己,好评,na
"pugh怎么这么可爱呀大家乖乖并没有排队挨骂但没骂到Bucky我要曲解成因为姐姐不想理他我支持给幽灵姐出个短剧我们直接把这个改改弄成小叶个人电影再重新拍一部thunderbolts行不
最后真心太幽默了给我笑喷了
ps大家拿thunderbolts开玩笑当小队名好萌呀",好评,na
45希望漫威以后政治正确就按这种力度搞质量触底反弹了整体很像滚导的那部自杀小队,好评,na
这种伎俩只能用一次吧 还是说以后都是斗心魔了,好评,na
"这个团队比我想象中要更有火花难得的是这些角色里除了巴基之外他们各自的前作水准其实都很狼狈基本没有老本可吃戏里戏外都给了他们second chance几乎以一己之力让这些人重新变得讨喜和有魅力它小到以角色情感为驱动更关心角色在想什么

尤其很爱叶莲娜的三个时刻一次是焚化炉开启前等待被吞噬一次是踏入虚空时迎接恐惧一次是走入公众视野时获得宽慰三次得到内心安宁的瞬间也是与自己对话的三个阶段给到这个角色的远比黑寡妇要多得多皮尤真是特别好这次终于没有辜负她

这一部选择把纽约变成一个巨大的心理疗愈场所角色们遇到的困境甚至就只是我们很多人的日常更不用说还有那一连串动作戏的编排将角色能力的逐一展现用在了救援上有被打动到和MCU的距离已经好久没有这么近了",好评,na
差评ip都挺合理的,好评,na
五一档唯一值得看的就是这部了角色融入在行人之间聊战术这个设定就能说明很多了,好评,na
好看很爆米花但是好看里面的插科打诨写得很对我胃口还有挺多内部梗的这回真是复联4前水准了我反正是想不起来第四第五阶段有那部能比得过的前提是除死侍和银护几个角色都挺讨喜的比猎鹰强多了可能这样说不太公平毕竟正面英雄比反英雄难写多了但是是实话但是缺点还是有就模仿大师这个事挺郁闷的是因为她招数太多了难排动作戏吗这个下线是我在商业片里见过最草率的听说五一档还有一部国产片里也有这位演员那她应该就是五一唯一一位上了两部片的人了还有本片强调主旨得太明显了这几个人一说话就要提自己的黑暗历史生怕我不知道,好评,na
复联4之后泯然众人的漫威终于又出现了一个能独挑大梁的领袖人物虽然她连血清和振金武器都没有,好评,na
7分这一次的话疗很合理不像美队4那么尬哨兵还有雷霆特攻队每个人的塑造也都还可以刚开始的出场互殴展现哨兵能力的那几段都很好看彩蛋更是让人惊喜,好评,na
很惊喜这部片在关注空虚这种疫情后普遍蔓延的精神状态但黑色这种反派的进攻方式真的不是为了特效好做吗,好评,na
哨兵战争,好评,na
好看太好看了 求求哥儿几个去暴打新美队,好评,na
"看完电影出来天黑了都得先想想是不是哨兵打到现实世界来了
漫威这两年总想搞政治讽刺但是太露骨就显得有点幼稚了这部片子水倒是没有第四阶段那些作品那么水但是95分的烂番茄也确实夸大了",好评,na
我们至今不知道为何手册派对漫威疏于解读,好评,na
第一个灭霸死掉之后最好看的漫威电影接地气重视人物塑造这才是原来的漫威电影而不是一群没有人味的角色插科打诨或一味模仿银护的公式化八股文剧情或一味致敬模仿老漫威片子love Bob,好评,na
银护三后漫威最佳,好评,na
最不看好往往最惊喜,好评,na
复联 4 后最正漫威不再是超长预告也不是强推之耻是有血有肉的漫威无主角时代最优解价值重建光靠死侍嬉皮笑脸地把金刚狼生拉硬拽出来还不够还是得残兵败将自己从虚无里生发出来对我到底想干啥这件大事琢磨明白才行片子一些处境既是漫威故事线内外的症结也是这个时代的精神注解美队 4 等一票伪重建做不到的这部片子做到了故事好节奏好动作戏好反派好小包袱很脆新团里面竟然有俩蠢蛋顺直可还行冬兵真是好莱坞第一谢霆锋幽灵幻视 SHE 里的 Ella疲惫版皮尤未来可期,好评,na
人生不就是苦中作乐用玩笑对抗失意漫威总能在关键时刻把商业作品拔高一个艺术水准,好评,na
群像戏和内心黑暗戏是精髓 看他们互相打嘴炮 Q梗也是很有意思 复联4后至少要看黑寡妇 猎鹰与冬兵才能看懂这部电影,好评,na
在这个新老交替的时刻人们建立起来的传统印象就像老漫威中的角色们一样人们需要的不再是正派的超级英雄们当以后反英雄成了超级英雄本身的含义英雄这个词也就消解了,好评,na
黑化哨兵是潜意识里抑郁症的实体化吧超级英雄也需要心理医生叶莲娜对红卫吐露孤独心声时太让人心疼了 复联大厦下的战斗集合让人梦回复联1,好评,na
复联大结局之后历经雷神4美队4外加各种零零碎碎边角电影第一次感觉漫威没怎么想创死我虽然看到女反派在复仇者大楼转悠会觉得很恼火最后一群人像二傻子一样面对发布会也有种烂泥扶不上墙即视感但被抑郁症吞没的世界是一个值得一聊的idea皮尤非常有新世代的气质机灵爱表达不怕让人难堪但每次演到红房子我都很想念Natasha会想起我们和叶莲娜失去的是同一个姐姐新一波男演员一个顺眼的都没有笨重黏腻丑要不是有Bucky骑摩托车掀翻全场的镜头挽尊我都替好莱坞新选的这帮男的害臊,好评,na
太好看了呜呜呜呜呜呜呜呜漫威你知道我已经吃了多少了吗终于上了点儿能看的,好评,na
动作戏比我想象中的少文戏比我预料的好看点这个小队的人员各有各的苦难但大家在一起缝缝补补就够了怪不得叶莲娜是小队领袖毕竟用了她小时候足球队的名字当团队名PS全片最倒霉小丑模仿大师幽灵女你去人家坟前磕一个吧,好评,na
确实是复联4之后国内能上映的最好的漫威院线这之前都在拍什么玩意但是片名真的太糟糕了,好评,na
漫威及格之作叶莲娜好美 最后话疗的部分很细腻 虽然没有毁天灭地 特效拉满的大决战但是导演选择了大家最后一起突破心之壁回归现实,好评,na
我不允许这片子比死侍与金刚狼分数低,好评,na
还不错喜欢皮尤最好的妹妹,好评,na
科幻电影中少有的近身格斗风,好评,na
"好纯粹的一部漫威又黑暗又治愈将心理问题外化到极致一部电影可能无法抚平创伤也无法解决永恒的孤独但看完确实获得了一次释放喜欢各种片场切换的画面和各种小巧思可以当怪奇物语前传来看还有一些夏日重现或说黑胡子
寰映荟聚",好评,na
